"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v2.x","","","","Module:Arduino_Nano","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf"
"C1,C2","2","C","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C3,C4","2","C_Polarized","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1,D2","2","LED","","","","LED_THT:LED_D5.0mm","~"
"J1","1","Servos","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J2","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"R1,R2,R3,R4","4","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R6,R7,R8","4","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9,R10","2","47","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Rsen1,Rsen2","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"RV1,RV2","2","1k","","","","Connector_Wire:SolderWire-0.1sqmm_1x03_P3.6mm_D0.4mm_OD1mm","~"
"SW1,SW2,SW3","3","SW_SPDT","","","","Connector_Wire:SolderWire-0.1sqmm_1x03_P3.6mm_D0.4mm_OD1mm","~"
"U1","1","LM324","","","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
"U2","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U3","1","LM1117T-3.3","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
